Alkon hinnasto 13.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
906458;Fair & Square Red 2024 kartonkitölkki;La Riojana;1 l;11.98;11.98;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2024;Famatina Valley;Vegaaneille soveltuva tuote;Syrah, ;Sinipunainen, täyteläinen, keskitanniininen, boysenmarjainen, mustaherukkainen, tumman kirsikkainen, kevyen vaniljainen, hennon toffeinen;kartonkitölkki;muovisuljin;13.0;5.2;4;;;;80.0;vakiovalikoima;7350084980013
447237;Alambrado Cabernet Sauvignon Malbec 2024;Bodega Santa Julia;0.75 l;12.99;17.19;;110;punaviinit;Pehmeä & Hedelmäinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2024;Mendoza;Vegaaneille soveltuva tuote;Cabernet Sauvignon, Malbec, ;Tummanpunainen, keskitäyteläinen, keskitanniininen, mustaherukkainen, karhunvatukkahilloinen, kevyen luumuinen, kirsikkainen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.5;6;;;;80.0;vakiovalikoima;7791728250138
440567;Alamos Malbec Organic 2023;Alamos;0.75 l;12.90;17.07;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2023;Mendoza;Vegaaneille soveltuva tuote;Malbec, ;Tummanpunainen, keskitäyteläinen, keskitanniininen, mustikkainen, karhunvatukkainen, kevyen kukkainen, kirsikkainen;pullo;metallinen kierrekapseli;13.0;5.2;2;;;;70.0;vakiovalikoima;7794450004871
939055;Altos Las Hormigas Clásico Malbec 2021;Altos Las Hormigas;0.75 l;22.99;30.65;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Tummanpunainen, täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;pullo;luonnonkorkki;13.5;5.5;3;;;;80.0;tilausvalikoima;7798051950032
903027;Beefsteak Club Reserve Barrel Aged Malbec 2020;Andean Vineyards;0.75 l;29.97;39.96;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2020;Uco Valley;;Malbec, ;Rubiininpunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen;pullo;luonnonkorkki;14.5;5.1;3;;;;80.0;tilausvalikoima;5011932012431
924067;Beefsteak Club Reserve Malbec 2024;E. I. Wines;0.75 l;15.50;20.53;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2024;;Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;pullo;metallinen kierrekapseli;13.0;5.2;3;;;;70.0;tilausvalikoima;5011932012325
956585;Beefsteak Club The Mini Malbec 2022;E I Wines;0.187 l;4.29;22.94;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Mendoza;Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, keskitäyteläinen, keskitanniininen, mustaherukkainen, karpaloinen, kevyen karhunvatukkainen, hennon mustapippurinen;pullo;metallinen kierrekapseli;13.5;4.9;0;;;;80.0;vakiovalikoima;5011932012547
446837;BenMarco Malbec 2022;Dominio del Plata;0.75 l;24.90;33.07;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Valle de Uco;Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, täyteläinen, tanniininen, herukkainen, karhunvatukkainen, kirsikkainen, pippurinen, kaakaoinen;pullo;luonnonkorkki;14.5;5.6;0;;;;80.0;vakiovalikoima;7798068480539
400026;Bianchi Gran Famiglia Malbec 2022;Bodegas Bianchi;0.75 l;19.97;26.49;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2022;Valle de Uco;;Malbec, ;Tummanpunainen, erittäin täyteläinen, tanniininen, tumman luumuinen, mustaherukkainen, kypsän kirsikkainen, kevyen kaakaoinen, hennon salmiakkinen;lasipullo;luonnonkorkki;14.5;5.6;3;;;;80.0;erikoiserä;7790703198779
004551;Caballo de Mendoza;Anora Group;0.75 l;9.61;12.68;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;;Mendoza;;Cabernet, Sangiovese, Malbec, ;Punainen, täyteläinen, keskitanniininen, tumman kirsikkainen, karpaloinen, luumuinen, yrttinen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.3;0;;;;80.0;vakiovalikoima;6412700455150
